Type,Component,Date,Value,Year
Expense,Health,Apr-25,"₹ 2,070.00",2025
Expense,Groceries,Apr-25,"₹ 2,307.00",2025
Income,Salary,Apr-25,"₹ 48,199.00",2025
Income,Savings,Apr-25,"₹ 5,681.00",2025
Expense,Food,May-25,"₹ 4,000.00",2025
Expense,Travel,May-25,"₹ 2,185.00",2025
Expense,EMI,May-25,"₹ 12,407.00",2025
Expense,Health,May-25,"₹ 1,550.00",2025
Expense,Groceries,May-25,"₹ 3,534.00",2025
Income,Salary,May-25,"₹ 51,196.00",2025
Income,Savings,May-25,"₹ 6,917.00",2025
Expense,Food,Jun-25,"₹ 2,070.00",2025
Expense,Travel,Jun-25,"₹ 1,972.00",2025
Expense,EMI,Jun-25,"₹ 10,951.00",2025
Expense,Health,Jun-25,₹ 651.00,2025
Expense,Groceries,Jun-25,"₹ 4,375.00",2025
Income,Salary,Jun-25,"₹ 42,532.00",2025
Income,Savings,Jun-25,"₹ 3,865.00",2025
Expense,Food,Jul-25,"₹ 3,262.00",2025
Expense,Travel,Jul-25,"₹ 1,165.00",2025
Expense,EMI,Jul-25,"₹ 10,654.00",2025
Expense,Health,Jul-25,"₹ 1,241.00",2025
Expense,Groceries,Jul-25,"₹ 4,186.00",2025
Income,Salary,Jul-25,"₹ 40,294.00",2025
Income,Savings,Jul-25,"₹ 5,072.00",2025
Expense,Food,Aug-25,"₹ 3,647.00",2025
Expense,Travel,Aug-25,"₹ 1,341.00",2025
Expense,EMI,Aug-25,"₹ 14,928.00",2025
Expense,Health,Aug-25,"₹ 1,762.00",2025
Expense,Groceries,Aug-25,"₹ 4,039.00",2025
Income,Salary,Aug-25,"₹ 51,821.00",2025
Income,Savings,Aug-25,"₹ 6,645.00",2025
Expense,Food,Sep-25,"₹ 2,238.00",2025
Expense,Travel,Sep-25,"₹ 1,504.00",2025
Expense,EMI,Sep-25,"₹ 11,362.00",2025
Expense,Health,Sep-25,₹ 645.00,2025
Expense,Groceries,Sep-25,"₹ 3,448.00",2025
Income,Salary,Sep-25,"₹ 40,120.00",2025
Income,Savings,Sep-25,"₹ 6,459.00",2025
Expense,Food,Oct-25,"₹ 3,652.00",2025
Expense,Travel,Oct-25,"₹ 2,422.00",2025
Expense,EMI,Oct-25,"₹ 9,290.00",2025
Expense,Health,Oct-25,"₹ 1,483.00",2025
Expense,Groceries,Oct-25,"₹ 2,150.00",2025
Income,Salary,Oct-25,"₹ 40,479.00",2025
Income,Savings,Oct-25,"₹ 5,875.00",2025
Expense,Food,Nov-25,"₹ 2,231.00",2025
Expense,Travel,Nov-25,"₹ 1,038.00",2025
Expense,EMI,Nov-25,"₹ 11,793.00",2025
Expense,Health,Nov-25,"₹ 1,838.00",2025
Expense,Groceries,Nov-25,"₹ 4,563.00",2025
Income,Salary,Nov-25,"₹ 44,369.00",2025
Income,Savings,Nov-25,"₹ 3,382.00",2025
Expense,Food,Dec-25,"₹ 2,665.00",2025
Expense,Travel,Dec-25,"₹ 1,708.00",2025
Expense,EMI,Dec-25,"₹ 14,680.00",2025
Expense,Health,Dec-24,"₹ 2,754.00",2025
Expense,Groceries,Dec-24,"₹ 3,525.00",2025
Income,Salary,Dec-24,"₹ 40,218.00",2025
Income,Savings,Dec-24,"₹ 4,871.00",2025

